Country_Name,Country_Code,year,Total_Revenue_excl_SC,Tax_Revenue_incl_SC,Tax_Revenue,Total_Non_Tax_Revenue,Direct_Taxes,Income_Taxes,PIT,CIT,Indirect_Taxes,Tax_on_Goods_and_Services,Value_Added_Tax,Excise_Taxes,Trade_Taxes,Export_Taxes,Social_Contributions,Property_Tax,Other_Taxes
Bangladesh,BGD,2009,0.09282302487005943,0.07036703243023806,0.07036703243023806,0.016,0.019000006255781604,0.019,0.008513307378494752,0.00936664710071143,0.05248705984919573,0.0,0.027000000000000003,0.0003765626476597387,0.024,0.0,0.0,6.255781606671059e-09,0.005
Bangladesh,BGD,2010,0.09447770858332827,0.07293779608350337,0.07036703243023806,0.017,0.02,0.02,0.010109212848611625,0.008841424259120049,0.0539871589757717,0.0,0.028999999999999998,0.00040342401632340513,0.025,0.0,0.0,0.0,0.004
Bangladesh,BGD,2011,0.09971407871612432,0.08071730951095671,0.07036703243023806,0.015,0.024,0.024,0.00952151969120745,0.012756890806440484,0.05843889901330877,0.0,0.032,0.0005139744052861648,0.027000000000000003,0.0,0.0,0.0,0.004
Bangladesh,BGD,2012,0.10753352959547993,0.08449169701099495,0.07036703243023806,0.018000000000000002,0.027000000000000003,0.027000000000000003,0.008418785446079371,0.016565838319740494,0.059507073245175075,0.0,0.032,0.0005894696308284178,0.026000000000000002,0.0,0.0,0.0,0.003
Bangladesh,BGD,2013,0.11066119153105468,0.08452178984201039,0.07036703243023806,0.017,0.028999999999999998,0.028999999999999998,0.008170604739027521,0.018890680931972877,0.05746050417101,0.0,0.032,0.0005907580499564698,0.025,0.0,0.0,0.0,0.003
Bangladesh,BGD,2014,0.10623372822844573,0.08115566324270673,0.07036703243023806,0.018000000000000002,0.027999999999999997,0.027999999999999997,0.007583898395951203,0.018874761905727785,0.054697002941027736,0.0,0.031,0.0005705030074384941,0.023,0.0,0.0,0.0,0.003
Bangladesh,BGD,2015,0.09335346693073403,0.07930526991694437,0.07036703243023806,0.011000000000000001,0.027000000000000003,0.027000000000000003,0.008016773654170667,0.01705363370688153,0.05423486255589218,0.0,0.03,0.0006149601097804453,0.024,0.0,0.0,0.0,0.004
Bangladesh,BGD,2016,0.09657775812418434,0.08190838789003095,0.07036703243023806,0.012,0.026000000000000002,0.026000000000000002,0.007958626789046238,0.016350831023436912,0.05759893007754781,0.0,0.031,0.0008412696700712922,0.025,0.0,0.0,0.0,0.004
Bangladesh,BGD,2017,0.09554465659764483,0.08413987094136331,0.07036703243023806,0.012,0.027000000000000003,0.027000000000000003,0.0,0.0,0.05934274362231136,0.0,0.032,0.001,0.027000000000000003,0.0,0.0,0.0,0.004
Bangladesh,BGD,2018,0.08036703243023807,0.07036703243023806,0.07036703243023806,0.01,0.026000000000000002,0.026000000000000002,0.0,0.0,0.0,0.0,0.03,0.001,0.025,0.0,0.0,0.0,0.004
Oman,OMN,2014,0.46299999999999997,0.0347372810675563,0.0347372810675563,0.0,0.0,0.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.013337281067556305
Oman,OMN,2015,0.349,0.04147500216978676,0.04147500216978676,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,0.015575002169786755
Oman,OMN,2016,0.297,0.04500187343469601,0.04500187343469601,0.0,0.0,0.015300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.011899999999999999,0.0,0.0,0.0,0.017801873434696015
Oman,OMN,2017,0.317,0.04195999470907247,0.04195999470907247,0.0,0.0,0.013500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,0.01885999470907247
India,IND,2004,0.1954658993475884,0.15506590022634173,0.15506590022634173,0.0,0.04917546570790488,0.04217469177725359,0.016226359965000506,0.025948331812253082,0.10651434941493854,0.0922663049550392,0.04867277170112845,0.03799508965167471,0.01808066453840968,,,0.007000773930651294,0.0011419086272240306
India,IND,2005,0.19360863406408094,0.1592616828991293,0.1592616828991293,0.0,0.051632672333688956,0.044015329868878406,0.016131652957979144,0.027883676910899265,0.11024373335168806,0.09606222803455278,0.04917345631001136,0.03751566920191348,0.017914306363354785,,,0.007617342464810545,0.0030255786901607186
India,IND,2006,0.20507750734552882,0.17065187822486988,0.17065187822486988,0.0,0.060713237276387666,0.05225828856053019,0.01833805720780825,0.03392023135272194,0.11287567729172156,0.09848546841569499,0.05172801670838985,0.034533976993058615,0.020290135755667533,,,0.008454948715857481,0.0033865114913662277
India,IND,2007,0.21621969631707597,0.17957815623939757,0.17957815623939757,0.0,0.06948299556082864,0.06101946817314606,0.021639123091162445,0.03938034508198361,0.11391375440885694,0.09931303282406502,0.0524623642129218,0.03216229656179585,0.02125457931165694,,,0.008463527387682595,0.004215920592194358
