Country_Name,Tax-GDP 2019,Tax-GDP 2020,Country_Code,_merge
Afghanistan,0.08360379958331392,0.06953136087527705,AFG,both
Angola,0.18530683323575345,0.16792995287692225,AGO,both
Burkina Faso,0.1544460176607662,0.14836352499990527,BFA,both
Burundi,0.16253458051025205,0.16568594995743952,BDI,both
Cape Verde,0.21523018606890293,0.19037416042147048,CPV,both
Cameroon,0.12364538282553167,0.1073453670462723,CMR,both
Central African Republic,0.07802575013332022,0.0708164377148254,CAF,both
Chad,0.09303837562422587,0.13296851927133632,TCD,both
Comoros,0.06798965443921405,0.07148813977072985,COM,both
"Congo, Rep.",0.26159541755573873,0.2328695812060878,COG,both
Cote d'Ivoire,0.12261037112772123,0.11877333900087615,CIV,both
"Congo, Dem. Rep.",0.07497560905236475,0.05907527055753649,COD,both
Djibouti,0.12009379577797923,0.10647316232261365,DJI,both
Dominica,0.23686567956910334,0.21556360109733294,DMA,both
Ethiopia,0.09977064580873643,0.09230712242506575,ETH,both
Fiji,0.0,0.0,FJI,both
"Gambia, The",0.10914884138101895,0.10537262960576121,GMB,both
Grenada,0.22090517339780466,0.21188035500280109,GRD,both
Guinea,0.12523363267577808,0.11904104671760625,GIN,both
Guinea-Bissau,0.09379584339678847,0.08057686376758906,GNB,both
Kenya,0.1429359654254716,0.13383868739615995,KEN,both
Lesotho,0.4057652585937103,0.43634368250879113,LSO,both
Madagascar,0.10254910343760328,0.08878747404962141,MDG,both
Malawi,0.18088560137115914,0.1598620030386286,MWI,both
Maldives,0.18950102264267893,0.18811475762350335,MDV,both
Mali,0.14750067638266548,0.14080282201932914,MLI,both
Mauritania,0.13413484421370223,0.12864380588940605,MRT,both
Mozambique,0.2505010529030999,0.18410168866874396,MOZ,both
Myanmar,0.0656642170803762,0.06136076305270897,MMR,both
Nepal,0.18945556035054653,0.17586101938664103,NPL,both
Niger,0.10358670062226116,0.09334577528041113,NER,both
Pakistan,0.11780684398710535,0.11379538603631639,PAK,both
Papua New Guinea,0.12980954172484768,0.11819700586256335,PNG,both
Samoa,0.0,0.0,WSM,both
Sao Tome and Principe,0.11910634115839785,0.14483495281596967,STP,both
Senegal,0.1764881800821245,0.16781822923038875,SEN,both
Sierra Leone,0.12285030345490235,0.11135665356110606,SLE,both
St. Lucia,0.19086307599090144,0.1785932324216813,LCA,both
St. Vincent and the Grenadines,0.24899670091310408,0.2608075665127521,VCT,both
Tajikistan,0.18201096399998967,0.16582497309850622,TJK,both
Tanzania,0.11744416271920667,0.11964938121152614,TZA,both
Togo,0.13034189165810994,0.12210346093556296,TGO,both
Tonga,0.20879565127886446,0.20543309952785233,TON,both
Uganda,0.1193673009093064,0.11269922929133508,UGA,both
"Yemen, Rep.",0.02681207346434497,0.028143111152238838,YEM,both
Zambia,0.16113525559617298,0.1541683068403782,ZMB,both
