Country,gdp_2013Q1,gdp_2013Q2,gdp_2013Q3,gdp_2013Q4,gdp_2014Q1,gdp_2014Q2,gdp_2014Q3,gdp_2014Q4,gdp_2015Q1,gdp_2015Q2,gdp_2015Q3,gdp_2015Q4,gdp_2016Q1,gdp_2016Q2,gdp_2016Q3,gdp_2016Q4,gdp_2017Q1,gdp_2017Q2,gdp_2017Q3,gdp_2017Q4,gdp_2018Q1,gdp_2018Q2,gdp_2018Q3,gdp_2018Q4,gdp_2019Q1,gdp_2019Q2,gdp_2019Q3,gdp_2019Q4,gdp_2020Q1,gdp_2020Q2,gdp_2020Q3,gdp_2020Q4,WB_Country
Spain,246846.0,259228.0,251199.0,263075.0,248197.0,260733.0,254780.0,268448.0,257233.0,272132.0,266375.0,281850.0,265844.0,281788.0,275793.0,290415.0,276574.0,294157.0,287429.0,303707.0,286806.0,305083.0,297131.0,315221.0,298529.0,315695.0,305647.0,324901.0,290523.0,250776.0,280458.0,,
Sri Lanka,2407674.07495138,2332841.75320417,2425773.0799716897,2425836.0160143,2529211.0,2507968.0,2646734.0,2764566.0,2653430.70161679,2673185.60376769,2785399.88884119,2838604.3224062,2907241.1251138197,2872373.7459936603,2942082.7988026002,3185054.38985958,3261838.20176892,3153644.8449382596,3328461.69184706,3545522.26616388,,,,,,,,,,,,,
Sweden,919673.0,979878.0,924681.0,998439.0,951259.0,1023626.0,968754.0,1049091.0,1010436.0,1092097.0,1032860.0,1125077.0,1048249.0,1136446.0,1058650.0,1171686.0,1105221.0,1189075.0,1107745.0,1223053.0,1157617.0,1248970.0,1147467.0,1274252.0,1208426.0,1291500.0,1208196.0,1316069.0,1239227.0,1215957.0,1186493.0,,
Switzerland,159589.61983,165248.2683,165900.362832,169910.514505,163431.47643,167991.917073,168639.839354,172754.97311,164653.245467,168369.428084,169421.281234,173291.691192,166919.478177,171784.574013,171732.24977,175004.682274,168653.137946,171953.863714,173899.985951,179187.137783,174321.768504,181118.658445,179741.768406,184431.593196,177765.19049,181848.202555,181516.169614,185791.377282,175815.105694,166698.007785,177545.247257,,
Thailand,3287583.0,3139844.0,3178279.0,3309452.0,3322191.0,3242832.0,3257778.0,3407500.0,3431781.0,3333228.0,3416356.0,3562098.0,3598693.0,3557831.0,3628874.0,3807197.0,3830987.0,3752139.0,3853827.0,4049598.0,4050238.0,3998361.0,4063328.0,4253645.0,4217970.0,4147950.0,4175125.0,4334846.0,4161945.0,3546985.0,,,
Turkey,388660.855,444833.479,494782.613,495150.368,454056.288,490144.355,551348.075,559349.11,500472.611,566138.634,634505.317,649824.781,567941.668,635574.637,670483.688,752559.717,654453.584,740272.382,839912.11,899066.192,796554.437,898229.274,1036561.053,1026970.857,925360.236,1028470.103,1158060.428,1208300.46,1073816.246,1041339.497,1419482.738,,
Ukraine,303753.0,354814.0,398000.0,408631.0,316905.0,382391.0,440476.0,447143.0,375991.0,456715.0,566997.0,588841.0,455298.0,535701.0,671456.0,722912.0,592523.0,665233.0,834287.0,891839.0,705977.0,810174.0,994810.0,1049635.0,815123.0,932677.0,1111862.0,1114902.0,845829.0,867782.0,,,
United Kingdom,439582.0,438760.0,444285.0,457709.0,465014.0,461383.0,463493.0,473118.0,475839.0,477094.0,477690.0,489018.0,492993.0,496451.0,494296.0,510972.0,514962.0,510912.0,513830.0,529053.0,528688.0,530063.0,534823.0,548218.0,550646.0,545539.0,552691.0,568911.0,554817.0,470856.0,525808.0,,
United States,4049584.0,4163863.0,4234415.0,4336990.0,4193475.0,4355448.0,4449960.0,4528375.0,4381185.0,4563206.0,4614948.0,4665441.0,4488764.0,4678299.0,4734573.0,4813405.0,4649728.0,4863682.0,4940866.0,5065149.0,4917129.0,5141726.0,5209973.0,5311394.0,5148400.0,5360917.0,5404652.0,5517583.0,5251691.0,,,,
Uruguay,271714.585656299,284426.94637620397,294813.23225972604,327376.945574836,314521.178330987,323686.101611476,328921.408498501,363379.67289205,348894.166716932,347755.801175351,365657.980209178,393540.27437138895,384061.83061396005,382547.44848651,395844.55195610796,426741.543821558,417423.665728822,408742.38658655295,421086.134292872,459856.445336992,444841.000881737,443000.50952747604,458149.18096192,492659.429563393,,,,,,,,,
West Bank and Gaza,2829.1,3145.5,3183.1,3318.3,3171.8,3309.8,3188.7,3045.3,2936.3,3183.8,3216.4,3336.5,3233.9,3363.9,3457.5,3370.4,3387.3,3653.7,3728.3,3728.8,3689.9,3559.5,,,,,,,,,,,
