,Country_Code,year,Tax_Revenue_real_USD,Tax_Revenue_real_USD_lag
62,AFG,2003,201481308.53147852,
63,AFG,2004,325341752.8790349,201481308.53147852
64,AFG,2005,421831374.13977766,325341752.8790349
65,AFG,2006,677103201.3234028,421831374.13977766
66,AFG,2007,655956391.0596356,677103201.3234028
67,AFG,2008,688639336.6275344,655956391.0596356
68,AFG,2009,1180298319.4766426,688639336.6275344
69,AFG,2010,1479077934.8348403,1180298319.4766426
70,AFG,2011,1438314681.9903023,1479077934.8348403
71,AFG,2012,1373325689.006174,1438314681.9903023
72,AFG,2013,1372127649.6952088,1373325689.006174
73,AFG,2014,1327371122.9699605,1372127649.6952088
74,AFG,2015,1493310221.8135476,1327371122.9699605
75,AFG,2016,1780970371.4653618,1493310221.8135476
76,AFG,2017,1911672069.6738849,1780970371.4653618
77,AFG,2018,,1911672069.6738849
78,AGO,1980,,
79,AGO,1981,,
80,AGO,1982,,
81,AGO,1983,,
82,AGO,1984,,
83,AGO,1985,8064813145.681287,
84,AGO,1986,5592003194.637445,8064813145.681287
85,AGO,1987,6506572816.635512,5592003194.637445
86,AGO,1988,6281737457.814863,6506572816.635512
87,AGO,1989,6876867378.405403,6281737457.814863
88,AGO,1990,7173337263.864945,6876867378.405403
89,AGO,1991,4763712131.6230545,7173337263.864945
90,AGO,1992,10623568355.965902,4763712131.6230545
91,AGO,1993,8834077184.884682,10623568355.965902
92,AGO,1994,6017240871.9423685,8834077184.884682
93,AGO,1995,6452592175.832644,6017240871.9423685
94,AGO,1996,11199981416.837946,6452592175.832644
95,AGO,1997,7598797804.90558,11199981416.837946
96,AGO,1998,9885230648.853584,7598797804.90558
97,AGO,1999,13363949755.313534,9885230648.853584
98,AGO,2000,14833904372.810295,13363949755.313534
99,AGO,2001,13892866795.94074,14833904372.810295
100,AGO,2002,12157773159.65708,13892866795.94074
101,AGO,2003,12677905181.80205,12157773159.65708
102,AGO,2004,14838195033.816303,12677905181.80205
103,AGO,2005,18347449381.199818,14838195033.816303
104,AGO,2006,,18347449381.199818
105,AGO,2007,29353839187.560036,
106,AGO,2008,36775820750.978485,29353839187.560036
107,AGO,2009,28609733487.61874,36775820750.978485
108,AGO,2010,33664947448.281086,28609733487.61874
109,AGO,2011,37388874783.15499,33664947448.281086
110,AGO,2012,37153775331.26373,37388874783.15499
111,AGO,2013,34450949271.374344,37153775331.26373
112,AGO,2014,29623127079.42624,34450949271.374344
