Country_Code,year,GDP_PC_Constant_USD,ln_GDP_PC_Constant_USD,GDP_Current_LCU,GDP_Constant_USD
GAB,1992,10868.416230342413,9.293616268519377,1480260000000.0,10896380665.303083
GAB,1993,10998.983579938524,9.305558145687426,1530840000000.0,11326412322.129713
GAB,1994,11110.817708494626,9.315674481049875,2326762580000.0,11746934243.94136
GAB,1995,11365.682754424814,9.338353809662564,2475200000000.0,12331208870.095955
GAB,1996,11481.459297529824,9.348488778304505,2912800000000.0,12778221236.430033
GAB,1997,11838.345474850135,9.379099158373592,3109100000000.0,13511482517.501656
GAB,1998,11949.282468711033,9.388426511097588,2645000000000.0,13981389394.6225
GAB,1999,10618.739558453344,9.270375602107537,2871000000000.0,12732484617.47995
GAB,2000,10170.264727617961,9.227223518951412,3608200000000.0,12492736210.552073
GAB,2001,10142.610610933203,9.224500700708413,3679028000000.0,12759485289.438858
GAB,2002,9879.384572760233,9.198205498595344,3701273000000.0,12727709938.932735
GAB,2003,9859.29998967201,9.196170450114149,3776236000000.0,13013743584.167612
GAB,2004,9679.12180466857,9.177726453496868,4097532000000.0,13103478949.698654
GAB,2005,9675.41957506293,9.177343883889233,5052603000000.0,13454154690.103758
GAB,2006,9143.522118493092,9.120800942351854,5395402000000.0,13076553296.630184
GAB,2007,9413.646762365192,9.149915698670014,5961579000000.0,13862206744.622297
GAB,2008,8826.638021626673,9.085529476093582,6944822000000.0,13403585248.084925
GAB,2009,8554.29946672679,9.054189297143752,5696993000000.0,13421054290.83433
GAB,2010,8849.322607991666,9.08809619360266,7111476556500.0,14372591916.47923
GAB,2011,9136.647109917061,9.120048760157667,8581582503200.0,15391860684.13247
GAB,2012,9258.908431494117,9.133341440723598,8766489229800.001,16200099127.691332
GAB,2013,9418.224920202394,9.150401912468043,8690531739900.0,17113573955.752163
GAB,2014,9476.594707477003,9.156580322646349,8988342089900.0,17852018586.539886
GAB,2015,9521.269004565693,9.161283417700833,8503461562899.999,18544480427.502556
GAB,2016,9429.004054258401,9.151545755443143,8310636115400.0,18932327518.472466
GAB,2017,9212.368804401816,9.128302295354322,8668907682300.0,19021809655.754524
GAB,2018,9051.281301443785,9.110661606942463,9366095748800.0,19182154180.11728
GAB,2019,9177.520826972604,9.124512384719829,9886926000000.0,19938879843.22249
GAB,2020,8839.760170481151,9.087015025227593,8975216835000.0,19674901724.72467
GBR,1960,13948.722131223121,9.543143179557104,26155000000.0,730913039676.0916
GBR,1961,14213.64490760291,9.56195769119797,27765000000.0,750480451121.4336
GBR,1962,14248.968496382196,9.564439796857995,29017000000.0,758757572432.3519
GBR,1963,14832.103077799353,9.604549237471304,30915000000.0,795742330123.9353
GBR,1964,15551.407412285193,9.651906422340334,33717000000.0,839776000263.4004
GBR,1965,15782.819894354427,9.66667727896426,36366000000.0,857765484759.3691
GBR,1966,15942.962700745966,9.676772800866647,38776000000.0,871258997151.716
GBR,1967,16299.194231369276,9.698870951914644,40960000000.0,895536408170.661
GBR,1968,17102.594039920168,9.746985429226681,44900000000.0,944263291353.8604
GBR,1969,17359.333560972085,9.761885598132526,48527000000.0,962431831454.024
GBR,1970,17874.813416953377,9.791147929295331,54451000000.0,994970207931.23
GBR,1971,18424.162596228165,9.821418266701926,60860000000.0,1029841101067.0286
GBR,1972,19155.335827870804,9.860336589106922,68054000000.0,1074347410338.7906
GBR,1973,20365.616880648355,9.921603310841437,78594000000.0,1144436207671.2498
GBR,1974,19847.133287633525,9.895814856926927,88183000000.0,1116003788738.1677
GBR,1975,19556.10777543574,9.88104293480197,109274000000.0,1099557804560.0947
GBR,1976,20130.194753497868,9.909976193375803,129450000000.0,1131557863317.3901
GBR,1977,20631.72604194823,9.93458526916497,150816000000.0,1159368732284.4094
GBR,1978,21497.98524085276,9.975714499996945,175163000000.0,1208111613579.523
GBR,1979,22283.94422608113,10.0116217082692,207293000000.0,1253403918971.1182
GBR,1980,21805.198806857938,9.989903697724774,243097000000.0,1227942675532.34
GBR,1981,21625.89787897009,9.981646851352933,269085000000.0,1218269633085.3638
GBR,1982,22065.218382255127,10.001757818879014,294814000000.0,1242572786564.916
GBR,1983,22988.939340555517,10.042768481005929,323001000000.0,1295032425552.7341
GBR,1984,23473.40368749712,10.063623301231718,346946000000.0,1324418072941.028
GBR,1985,24391.523416486376,10.101990949959927,381251000000.0,1379347186130.58
GBR,1986,25101.73391549751,10.130692203032647,410311000000.0,1422801320350.9448
GBR,1987,26399.210463159532,10.181089381988691,455965000000.0,1499529272688.911
GBR,1988,27850.607543335176,10.234610059958968,511671000000.0,1585488493375.6516
GBR,1989,28494.215233333543,10.257456371385679,566512000000.0,1626356088044.7761
GBR,1990,28617.61831050607,10.261777831985398,615673000000.0,1638289565345.8708
GBR,1991,28214.543221268872,10.247592841056134,647966000000.0,1620217238383.413
GBR,1992,28251.203244126333,10.24889132837998,672170000000.0,1626715639780.4983
GBR,1993,28885.276228598854,10.271087271216164,707734000000.0,1667218108921.873
GBR,1994,29919.937428085854,10.306280340778935,745196000000.0,1731339469629.5718
GBR,1995,30596.36248503583,10.328636407836468,850181000000.0,1775171272910.1682
GBR,1996,31278.95880805496,10.350700907917748,907265000000.0,1819401633040.1924
GBR,1997,32750.719999164106,10.396680225529039,951750000000.0,1909922231658.1333
GBR,1998,33866.20958566789,10.430173028881146,997247000000.0,1980737775172.5098
GBR,1999,34865.73107584019,10.459259708195923,1039752000000.0,2046007078423.1353
GBR,2000,35959.48604164286,10.49014819598183,1095900000000.0,2117744535140.2566
GBR,2001,36799.358974568866,10.513235704835983,1138375000000.0,2175566069186.1267
GBR,2002,37442.27989786364,10.530555823445418,1187671000000.0,2222966092388.2354
GBR,2003,38506.34866140365,10.558578406977515,1256188000000.0,2296810396769.9214
GBR,2004,39163.25918691368,10.575494320630511,1317459000000.0,2349321871594.955
GBR,2005,40044.90546389502,10.597756740008212,1393038000000.0,2418760584175.2485
GBR,2006,40822.46476746123,10.61698781590943,1470719000000.0,2483917165662.055
GBR,2007,41461.99924616296,10.632532605911662,1546085000000.0,2542551914678.856
GBR,2008,41022.278859654936,10.621870584926139,1589259000000.0,2535463784367.2983
GBR,2009,39038.241837085334,10.572297004602202,1548513000000.0,2431156088971.622
GBR,2010,39536.77268068349,10.584986471761704,1606027000000.0,2481579504997.8086
GBR,2011,39729.44200938441,10.589847804143806,1660141000000.0,2513237223477.6665
GBR,2012,40018.490815339974,10.597096896665535,1711770000000.0,2549186468912.6816
GBR,2013,40620.37620579087,10.612025096681613,1780336000000.0,2604914574687.661
GBR,2014,41476.63928400517,10.632885638906988,1863008000000.0,2679486211063.8086
GBR,2015,42121.67682462561,10.64831777610662,1919641000000.0,2742804332759.546
GBR,2016,42523.674253322555,10.657816241077269,1994712000000.0,2790046007973.5786
GBR,2017,42970.791277429365,10.668275891247605,2068757000000.0,2838601442114.136
GBR,2018,43246.202537172314,10.674664705896419,2141792000000.0,2874157497314.1445
GBR,2019,43592.414517853584,10.68263843525272,2217787000000.0,2913556871434.8096
