Country_Name,year,Country_Code,Region_Code,IDA_IBRD,Tax_Revenue
,2018,FIN,WER,NONE,0.30542837337076056
,2019,FIN,WER,NONE,0.3046436999762758
,2018,FJI,EAP,IDA,0.23992438246502445
,2019,FJI,EAP,IDA,0.22677029169193197
,2018,FRA,WER,NONE,0.2987241376391058
,2019,FRA,WER,NONE,0.3047175059230722
,2018,FSM,EAP,IDA,0.3208955223880597
,2019,FSM,EAP,IDA,
,2018,GAB,SSA,IBRD,
,2019,GAB,SSA,IBRD,
,2018,GBR,WER,NONE,0.26623545819151273
,2019,GBR,WER,NONE,0.26525912172517624
,2018,GEO,ECA,IBRD,0.23557254646965178
,2019,GEO,ECA,IBRD,0.23181938156051407
,2018,GHA,SSA,IDA,0.13164573048210887
,2019,GHA,SSA,IDA,0.12283351142273949
,2018,GIN,SSA,IDA,0.12398792318087651
Guinea,2019,GIN,SSA,IDA,0.12523362922290593
,2018,GMB,SSA,IDA,0.10117345797180717
"Gambia, The",2019,GMB,SSA,IDA,0.1091469951213109
,2018,GNB,SSA,IDA,0.09054883117846253
Guinea-Bissau,2019,GNB,SSA,IDA,0.09377871306203503
,2018,GNQ,SSA,IBRD,0.0565386164173499
,2019,GNQ,SSA,IBRD,0.09588325970090565
,2018,GRC,ECA,NONE,0.280514335631263
,2019,GRC,ECA,NONE,0.27387916887025454
,2018,GRD,LAC,IDA,0.22282091917591126
Grenada,2019,GRD,LAC,IDA,0.22086662569145668
,2018,GTM,LAC,IBRD,0.10591263405061932
,2019,GTM,LAC,IBRD,0.1049822492616405
,2018,GUY,LAC,IDA,0.19960340763741966
,2019,GUY,LAC,IDA,0.2099179646436087
,2018,HKG,EAP,NONE,0.13808939304156437
,2019,HKG,EAP,NONE,
,2018,HND,LAC,IDA,0.18886255470245175
,2019,HND,LAC,IDA,0.18315229143599474
,2018,HRV,ECA,IBRD,0.26336596232740744
,2019,HRV,ECA,IBRD,0.26854838244651236
,2018,HTI,LAC,IDA,0.07601589429337417
,2019,HTI,LAC,IDA,0.06086794267896238
,2018,HUN,ECA,NONE,0.2520895549730731
,2019,HUN,ECA,NONE,0.2377146818689516
,2018,IDN,EAP,IBRD,0.10250185392899512
,2019,IDN,EAP,IBRD,0.0975838651843469
India,2018,IND,SA,IBRD,0.17732753524032482
India,2019,IND,SA,IBRD,0.15846404544205736
,2018,IRL,WER,NONE,0.1856499515718524
,2019,IRL,WER,NONE,0.18237043698692887
,2018,IRN,MENA,IBRD,
,2019,IRN,MENA,IBRD,
,2018,IRQ,MENA,IBRD,
,2019,IRQ,MENA,IBRD,
,2018,ISL,WER,NONE,0.33075643905650876
,2019,ISL,WER,NONE,0.3190183964665123
,2018,ISR,MENA,NONE,0.25757957508232215
,2019,ISR,MENA,NONE,0.2518413143771103
,2018,ITA,WER,NONE,0.28783072980463653
,2019,ITA,WER,NONE,0.29137299853708104
,2018,JAM,LAC,IBRD,0.2626699716364533
,2019,JAM,LAC,IBRD,0.26961458091478985
,2018,JOR,MENA,IBRD,0.14879273013581787
,2019,JOR,MENA,IBRD,0.14814064626388582
,2018,JPN,EAP,NONE,0.18874052301589242
,2019,JPN,EAP,NONE,0.18670350950679615
,2018,KAZ,ECA,IBRD,0.17940929356640312
,2019,KAZ,ECA,IBRD,
,2018,KEN,SSA,IDA,0.15085143346179927
Kenya,2019,KEN,SSA,IDA,0.1586321520617975
,2018,KGZ,ECA,IDA,0.20231863797142885
,2019,KGZ,ECA,IDA,0.20310960914646753
,2018,KHM,EAP,IDA,0.17159936103779924
,2019,KHM,EAP,IDA,0.19998263282247314
,2018,KIR,EAP,IDA,
,2019,KIR,EAP,IDA,
,2018,KNA,LAC,IBRD,
,2019,KNA,LAC,IBRD,
,2018,KOR,EAP,NONE,0.19907779642592643
,2019,KOR,EAP,NONE,0.200055256800823
,2018,KSV,,,0.23149792776791
,2019,KSV,,,0.23395270270270271
,2018,KWT,MENA,NONE,0.014125956444967627
,2019,KWT,MENA,NONE,0.01712622024319233
,2018,LAO,EAP,IDA,
,2019,LAO,EAP,IDA,
,2018,LBN,MENA,IBRD,0.1530874351450477
,2019,LBN,MENA,IBRD,0.15588802221164838
,2018,LBR,SSA,IDA,0.11519607843137254
,2019,LBR,SSA,IDA,0.12597911227154046
,2018,LBY,MENA,IBRD,
,2019,LBY,MENA,IBRD,
,2018,LCA,LAC,IDA,0.18622875582646112
St. Lucia,2019,LCA,LAC,IDA,0.18407869481765834
,2018,LKA,SA,IBRD,0.11981867584662839
,2019,LKA,SA,IBRD,0.1155619008303478
,2018,LSO,SSA,IDA,0.3372442605104343
Lesotho,2019,LSO,SSA,IDA,0.3321713982121749
,2018,LTU,ECA,NONE,0.1739149282275615
,2019,LTU,ECA,NONE,0.20469852654876322
,2018,LUX,WER,NONE,0.28957349341415084
,2019,LUX,WER,NONE,0.28447257383966246
,2018,LVA,ECA,NONE,0.22021641560580585
,2019,LVA,ECA,NONE,0.21687278524703327
,2018,MAC,EAP,NONE,0.2875879911049686
,2019,MAC,EAP,NONE,0.28879731091910255
