Country,Country_Code,Region_Code,Income_Group,IDA,Tax_Type,Units(LCU),Reporting,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,tax_2019Q1,tax_2019Q2,tax_2019Q3,tax_2019Q4,tax_2020Q1,tax_2020Q2,tax_2020Q3,tax_2019H1,tax_2019H2,tax_2020H1,tax_2019,gdp_2019Q1,gdp_2019Q2,gdp_2019Q3,gdp_2019Q4,gdp_2020Q1,gdp_2020Q2,gdp_2020Q3,gdp_2019H1,gdp_2019H2,gdp_2020H1,gdp_2019,factor,tax_gdp_2019Q1,tax_gdp_2019Q2,tax_gdp_2019Q3,tax_gdp_2019Q4,tax_gdp_2020Q1,tax_gdp_2020Q2,tax_gdp_2020Q3,tax_gdp_2019H1,tax_gdp_2019H2,tax_gdp_2020H1,tax_gdp_2019
Ghana,GHA,SSA,Lower-Middle Income,IDA,VAT,lcu,monthly,1070162625.1770643,1043283246.0817368,1116200211.2455215,1169790716.510817,1038316897.9711136,847021513.6183807,1043887927.1788384,1105241677.6726167,1057623290.2429143,0.0,0.0,0.0,1164122873.358838,718092589.9475757,724700591.3925236,890218250.8595794,1086830663.2332373,727430642.1296575,0.0,0.0,0.0,0.0,3229646082.5043225,3055129128.1003113,3206752895.0943694,0.0,2606916054.6989374,2704479556.222474,0.0,6284775210.604633,3206752895.0943694,5311395610.9214115,9491528105.699003,84850.6,84312.0,85551.8,94766.0,92487.0,88284.8,92223.9,169162.6,180317.8,180771.8,349480.4,1,3.8062737122711243,3.623599402339301,3.748317271050252,0.0,2.818683766041646,3.063358082277441,0.0,3.7152273673995513,1.778389540630137,2.9381770889715164,2.7158971163186845
Ghana,GHA,SSA,Lower-Middle Income,IDA,VAT1,lcu,monthly,760233332.2080421,728920837.720213,801484879.2213104,789105598.5678183,723436245.2219343,585717006.113035,708390052.4092231,756426723.5503263,745717573.5661848,0.0,0.0,0.0,795727333.9590669,483354035.9596825,538615955.1047008,605530850.1099907,739195122.7767801,480710480.4946868,0.0,0.0,0.0,0.0,2290639049.1495657,2098258849.9027874,2210534349.525734,0.0,1817697325.0234501,1825436453.3814576,0.0,4388897899.052353,2210534349.525734,3643133778.4049077,6599432248.578087,84850.6,84312.0,85551.8,94766.0,92487.0,88284.8,92223.9,169162.6,180317.8,180771.8,349480.4,1,2.6996144389663312,2.4886835206172164,2.5838548686593783,0.0,1.9653544011844368,2.0676678809732336,0.0,2.594484773260965,1.2259102260152541,2.015321957520425,1.8883554695994644
Germany,DEU,WER,High Income,0,Business Taxes,mill lcu,monthly,-40.0,149.0,11.0,1781.0,331.0,0.0,1928.0,292.0,0.0,1634.0,272.0,1753.0,69.0,170.0,6.0,975.0,197.0,-2.0,650.0,0.0,0.0,0.0,120.0,2112.0,2220.0,3659.0,245.0,1170.0,650.0,2232.0,5879.0,1415.0,8111.0,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,1692760.0,1756290.0,1620580.0,3449050.0,1000000,0.014187415762218911,0.2493683141662928,0.2551284261334253,0.41291443789920323,0.028762282668670244,0.1521911625063413,0.07710831939452176,0.13185566766700535,0.33473970699599725,0.08731441829468461,0.2351662051869355
Germany,DEU,WER,High Income,0,CIT,mill lcu,monthly,327.0,-33.0,8899.0,-43.0,-38.0,8166.0,-39.0,71.0,7574.0,-144.0,-622.0,7893.0,1071.0,11.0,7412.0,-2481.0,-225.0,5054.0,-262.0,0.0,0.0,0.0,9193.0,8085.0,7606.0,7127.0,8494.0,2348.0,-262.0,17278.0,14733.0,10842.0,32011.0,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,1692760.0,1756290.0,1620580.0,3449050.0,1000000,1.0868742758506538,0.9546130776678395,0.8741021662931678,0.8042747195702711,0.9971707305619798,0.3054229483460593,-0.031080584125176457,1.0206999220208417,0.8388705737662915,0.6690197336755976,0.9281106391615083
Germany,DEU,WER,High Income,0,Income Taxes,mill lcu,monthly,22716.0,18355.0,41924.0,20309.0,19581.0,48733.0,21403.0,18228.388,40248.0,17560.0,17839.0,37349.0,25542.0,19517.0,41261.0,16251.0,15507.0,38170.0,21773.0,0.0,0.0,0.0,82995.0,88623.0,79879.388,72748.0,86320.0,69928.0,21773.0,171618.0,152627.388,156248.0,324245.38800000004,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,1692760.0,1756290.0,1620580.0,3449050.0,1000000,9.812371426544656,10.463905353389851,9.179956099523071,8.209537996253413,10.133715265141287,9.09608855704567,2.582891443349111,10.138353930858479,8.69032950139214,9.641486381418998,9.401005726214466
Germany,DEU,WER,High Income,0,Other Taxes,mill lcu,monthly,6770.0,11381.0,12348.0,10016.0,11170.0,11526.0,10751.0,11158.0,11231.0,10821.0,10529.0,17698.0,6042.0,12576.0,11885.0,9999.0,9363.0,10485.0,10647.0,0.0,0.0,0.0,30499.0,32712.0,33140.0,39048.0,30503.0,29847.0,10647.0,63211.0,72188.0,60350.0,135399.0,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,1692760.0,1756290.0,1620580.0,3449050.0,1000000,3.6058499444326215,3.8623751387347394,3.808538757685456,4.406527185320604,3.5809628907855036,3.882435578911768,1.2630342716822662,3.7341974054207334,4.110255140096453,3.7239753668439692,3.925689682666241
Germany,DEU,WER,High Income,0,PIT,mill lcu,monthly,22389.0,18388.0,33025.0,20352.0,19619.0,40567.0,21442.0,18157.388,32674.0,17704.0,18461.0,29456.0,24471.0,19506.0,33849.0,18732.0,15732.0,33116.0,22035.0,0.0,0.0,0.0,73802.0,80538.0,72273.388,65621.0,77826.0,67580.0,22035.0,154340.0,137894.388,145406.0,292234.38800000004,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,1692760.0,1756290.0,1620580.0,3449050.0,1000000,8.725497150694,9.50929227572201,8.305853933229903,7.405263276683143,9.136544534579308,8.79066560869961,2.6139720274742873,9.117654008837638,7.851458927625847,8.972466647743401,8.47289508705296
Germany,DEU,WER,High Income,0,Tax Revenue,mill lcu,monthly,48698.0,54822.0,70496.0,50401.0,51981.0,80165.0,53098.0,50804.388,72394.0,49419.0,50636.0,78096.0,51037.0,58477.0,67613.0,38648.0,41572.0,64987.0,53015.0,0.0,0.0,0.0,174016.0,182547.0,176296.388,178151.0,177127.0,145207.0,53015.0,356563.0,354447.38800000004,322334.0,711010.388,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,1692760.0,1756290.0,1620580.0,3449050.0,1000000,20.573644510652382,21.55371100668288,20.26045946101247,20.104159613605074,20.79419119287165,18.888224046203675,6.289073158000878,21.06400198492403,20.181598027660584,19.89003936862111,20.61467325785361
Germany,DEU,WER,High Income,0,VAT,mill lcu,monthly,19252.0,24937.0,16213.0,18295.0,20899.0,19906.0,19016.0,21126.0,20915.0,19404.0,21996.0,21296.0,19384.0,26214.0,14461.0,11423.0,16505.0,16334.0,19945.0,0.0,0.0,0.0,60402.0,59100.0,61057.0,62696.0,60059.0,44262.0,19945.0,119502.0,123753.0,104321.0,243255.0,845820.0,846940.0,870150.0,886140.0,851810.0,768770.0,842970.0,1692760.0,1756290.0,1620580.0,3449050.0,1000000,7.14123572391289,6.978062200391999,7.016836177670517,7.075179994131853,7.050750754276189,5.757508747739896,2.366039123574979,7.059594980977811,7.04627367917599,6.437263202063459,7.05281164378597
Spain,ESP,WER,High Income,0,CIT,mill lcu,monthly,-4282.0,-239.0,-582.0,5145.0,1172.0,394.0,774.0,5855.0,202.0,11613.0,-224.0,3903.0,-3614.0,-698.0,52.0,1572.0,532.0,-153.0,0.0,0.0,0.0,0.0,-5103.0,6711.0,6831.0,15292.0,-4260.0,1951.0,0.0,1608.0,22123.0,-2309.0,23731.0,298529.0,315695.0,305647.0,324901.0,290523.0,250776.0,280458.0,614224.0,630548.0,541299.0,1244772.0,1000000,-1.7093816681126455,2.1257859643009867,2.234931146060652,4.706664491645148,-1.4663210830123605,0.7779851341436183,0.0,0.2617937429992967,3.5085354326712634,-0.4265664632670668,1.9064535513330956
